freq,nrg_bal,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,FC_IND_MQ_E,PC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100 	100 	100 	21.144 	9.188 	100 	100 	10.106 	6.319 	2.691 	4.045 	3.262 	5.519 	5.564 	5.534 	5.932 	5.869 	6.431 	6.772 
A,FC_IND_MQ_E,PC,MK	56.659 	57.752 	57.752 	: 	66.963 	100 	100 	100 	76.239 	71.731 	60.396 	75.446 	59.363 	61.197 	56.696 	60.56 	66.374 	65.961 	54.998 	49.713 	44.319 	40.955 	53.101 	56.282 	49.558 	50.9 	50.426 	49.389 	50.369 	50.461 	52.158 	46.338 	45.47 	48.856 
A,FC_IND_MQ_E,PC,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100 	100 	100 	7.727 	14.345 	7.727 	7.727 	9.992 	23.783 	14.286 	11.297 	10.394 	9.979 	10.184 
A,FC_IND_MQ_E,PC,NL	31.598 	28.719 	31.836 	14.667 	12.752 	17.312 	17.165 	14.429 	12.988 	13.535 	13.613 	13.63 	12.415 	10.313 	9.111 	11.408 	16.431 	15.497 	12.71 	13.748 	15.865 	15.115 	13.81 	14.847 	18.621 	16.743 	17.981 	18.217 	18.396 	18.261 	20.098 	19.381 	19.047 	20.147 
A,FC_IND_MQ_E,PC,NO	51.434 	71.004 	76.136 	69.703 	67.823 	68.496 	72.082 	75.112 	76.973 	49.562 	55.544 	48.046 	48.969 	44.002 	40.933 	42.12 	40.219 	40.858 	40.606 	42.258 	42.69 	41.257 	41.135 	39.431 	42.372 	38.148 	33.081 	39.576 	33.89 	35.694 	37.63 	35.897 	34.354 	43.803 
A,FC_IND_MQ_E,PC,PL	18.727 	21.247 	24.609 	27.827 	26.613 	27.289 	29.809 	31.645 	31.487 	28.183 	26.935 	37.508 	38.8 	37.341 	38.401 	41.789 	43.385 	42.835 	43.295 	47.882 	52.842 	52.169 	52.956 	55.047 	56.932 	57.21 	56.592 	55.087 	54.098 	53.702 	55.953 	56.384 	49.613 	51.096 
A,FC_IND_MQ_E,PC,PT	50.42 	45.294 	46.238 	46.753 	49.082 	51.187 	48.02 	52.491 	41.006 	38.09 	35.619 	37.707 	34.501 	43.509 	35.488 	32.896 	37.221 	29.743 	36.388 	32.418 	37.479 	37.415 	42.522 	44.332 	50.37 	53.826 	52.838 	50.306 	53.181 	54.315 	55.555 	53.983 	56.173 	59.429 
A,FC_IND_MQ_E,PC,RO	: 	0 	33.048 	41.846 	48.918 	48.922 	52.339 	48.917 	43.355 	47.292 	42.271 	41.94 	40.108 	52.609 	55.056 	60.548 	44.514 	29.851 	18.67 	39.055 	45.184 	40.88 	39.684 	46.549 	42.898 	55.677 	56.769 	54.87 	54.723 	56.604 	58.529 	49.446 	64.98 	40.517 
A,FC_IND_MQ_E,PC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100 	90.364 	85.082 	87.155 	42.315 	29.098 	36.054 	33.496 	65.256 	36.557 	87.834 	71.06 	67.581 	71.12 	51.282 	47.19 	44.65 	44.841 	48.691 	48.265 
A,FC_IND_MQ_E,PC,SE	58.986 	66.777 	68.966 	66.456 	66.773 	62.52 	62.641 	62.51 	62.174 	65.569 	67.154 	66.312 	62.41 	59.898 	61.19 	60.478 	60.083 	58.281 	61.038 	61.699 	60.286 	60 	60.313 	64.252 	0 	64.029 	59.725 	59.965 	58.97 	59.899 	62.771 	59.934 	60.745 	60.068 
A,FC_IND_MQ_E,PC,SI	: 	: 	: 	0 	: 	: 	0 	56.91 	57.224 	60.607 	22.759 	22.226 	52.254 	40.111 	39.275 	38.195 	29.8 	39.715 	43.464 	46.188 	52.844 	60.092 	62.547 	66.654 	68.648 	65.93 	67.644 	68.02 	68.798 	69.049 	66.716 	67.4 	65.963 	56.858 
A,FC_IND_MQ_E,PC,SK	0 	0 	0 	0 	0 	36.712 	22.721 	28.898 	39.643 	30.389 	22.471 	13.208 	20.233 	18.968 	19.949 	20.316 	20.313 	19.601 	22.453 	40.692 	35.964 	33.181 	29.016 	38.187 	39.975 	36.131 	37.4 	33.152 	10.477 	9.879 	10.054 	9.594 	10.286 	15.39 
A,FC_IND_MQ_E,PC,TR	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	95.23 	57.81 	44.247 	52.766 	58.022 	54.909 	18.136 	24.801 	24.669 	35.632 	40.498 	42.094 	42.986 	46.83 	49.696 
A,FC_IND_MQ_E,PC,UA	76.209 	99.533 	99.526 	99.461 	99.383 	99.422 	99.342 	99.427 	99.413 	99.373 	99.449 	99.487 	99.512 	99.546 	59.886 	47.425 	47.739 	43.598 	45.694 	50.874 	48.59 	51.969 	53.829 	54.237 	55.112 	56.745 	66.849 	60.891 	55.955 	57.178 	65.947 	: 	: 	: 
A,FC_IND_MQ_E,PC,UK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	: 	: 	: 	: 
A,FC_IND_MQ_E,PC,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,FC_IND_NFM_E,PC,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.382 	14.025 	12.883 	15.428 	17.091 	34.829 	34.829 	34.829 	42.514 	56.47 	80.385 	100 	100 	100 	100 	100 	100 	100 	95.522 	94.895 	95.041 	95.304 	93.627 	77.236 	77.672 
A,FC_IND_NFM_E,PC,AT	70.532 	71.183 	47.796 	39.392 	34.144 	34.522 	35.026 	37.291 	39.048 	41.234 	42.559 	40.32 	40.533 	41.313 	42.374 	43.115 	43.528 	41.902 	40.846 	39.938 	41.206 	43.122 	44.27 	39.739 	41.786 	40.086 	40.841 	41.82 	39.692 	41.795 	42.322 	43.421 	40.966 	40.123 
A,FC_IND_NFM_E,PC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	70.547 	63.26 	66.034 	61.868 	61.397 	48.256 	23.318 	22.616 	21.276 	: 
A,FC_IND_NFM_E,PC,BE	51.732 	51.278 	49.721 	48.584 	47.552 	43.353 	46.362 	47.634 	53.226 	53.052 	53.566 	54.821 	53.221 	50.68 	49.052 	46.766 	48.342 	49.415 	50.095 	37.715 	55.906 	58.514 	55.545 	55.924 	58.904 	58.165 	56.8 	59.34 	60.48 	59.321 	58.845 	59.322 	58.838 	61.395 
A,FC_IND_NFM_E,PC,BG	55.634 	59.088 	51.709 	46.071 	44.011 	44.097 	38.282 	35.364 	35.912 	35.567 	39.854 	41.996 	41.766 	46.983 	44.593 	45.105 	45.64 	49.721 	62.423 	55.465 	56.183 	56.79 	55.357 	59.134 	59.26 	55.472 	50.848 	55.552 	52.404 	50.477 	51.872 	50.51 	52.903 	53.821 
A,FC_IND_NFM_E,PC,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	0 	0 	0 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,FC_IND_NFM_E,PC,CZ	89.653 	82.177 	53.936 	30.899 	18.941 	27.683 	19.576 	16.556 	22.341 	29.55 	28.925 	28.279 	12.225 	27.128 	29.593 	31.471 	31.26 	29.414 	38.325 	37.761 	28.828 	35.101 	48.653 	40.422 	46.33 	43.802 	40.496 	35.695 	38.39 	38.34 	38.648 	36.821 	39.501 	39.692 
A,FC_IND_NFM_E,PC,DE	55.306 	57.642 	57.298 	65.605 	67.569 	56.852 	56.752 	57.552 	58.512 	59.397 	60.351 	60.506 	60.463 	58.942 	58.308 	57.561 	58.44 	60.327 	60.216 	53.592 	54.918 	56.473 	56.313 	56.565 	57.62 	59 	58.472 	59.477 	58.449 	58.155 	59.024 	58.437 	54.879 	48.926 
A,FC_IND_NFM_E,PC,EA19	57.703 	56.934 	56.776 	58.525 	57.84 	55.181 	55.567 	56.167 	56.948 	56.559 	56.667 	59.043 	57.963 	59.119 	59.576 	59.816 	59.435 	60.283 	60.156 	56.935 	57.331 	58.6 	59.384 	57.252 	58.68 	58.722 	57.218 	59.561 	57.239 	55.797 	55.59 	53.778 	50.901 	50.316 
A,FC_IND_NFM_E,PC,EA20	58.2 	57.318 	56.785 	58.528 	57.842 	55.182 	55.568 	56.134 	56.928 	56.549 	56.648 	59.022 	57.951 	59.108 	59.553 	59.805 	59.421 	60.266 	60.128 	56.924 	57.329 	58.589 	59.365 	57.236 	58.657 	58.704 	57.2 	59.531 	57.204 	55.764 	55.559 	53.744 	50.869 	50.284 
A,FC_IND_NFM_E,PC,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100 	75 	32.453 	80 	27.922 	58.333 	19.861 	25.852 	32.439 	19.311 	29.717 	45.468 	23.022 	17.659 	17.674 	26.24 	27.406 	0 	19.355 	35.143 	33.54 	56.827 	100 	50.732 
A,FC_IND_NFM_E,PC,EL	45.562 	45.955 	48.197 	44.006 	45.962 	45.189 	40.951 	43.392 	45.773 	43.373 	40.818 	41.822 	40.9 	38.653 	42.794 	47.284 	44.313 	46.41 	45.697 	57.35 	60.687 	45.722 	50.554 	46.67 	51.468 	52.249 	48.508 	74.314 	75.371 	69.796 	54.862 	53.007 	54.006 	51.136 
A,FC_IND_NFM_E,PC,ES	71.637 	70.067 	70.854 	69.982 	66.843 	67.926 	72.341 	71.494 	68.346 	70.881 	68.513 	65.346 	57.508 	64.574 	65.424 	74.797 	75.036 	72.435 	74.715 	66.619 	59.732 	70.866 	80.105 	78.049 	80.53 	75.417 	70.376 	72.105 	63.427 	55.356 	57.22 	53.263 	41.759 	53.942 
A,FC_IND_NFM_E,PC,EU27_2020	58.642 	57.756 	56.247 	57.286 	56.043 	53.617 	53.571 	54.096 	55.673 	55.739 	55.769 	57.657 	57.091 	58.227 	58.806 	59.185 	58.669 	59.496 	59.371 	56.34 	56.339 	57.786 	58.604 	56.743 	58.063 	58.046 	56.603 	59.837 	56.859 	55.686 	55.562 	53.948 	51.126 	51.114 
A,FC_IND_NFM_E,PC,EU28	57.766 	56.63 	55.149 	55.503 	53.649 	51.984 	51.999 	52.918 	54.167 	53.858 	55.011 	56.929 	56.473 	58.259 	59.525 	59.871 	59.339 	60.258 	60.505 	57.778 	57.893 	59.262 	59.361 	57.426 	58.731 	58.098 	56.811 	59.742 	56.901 	55.744 	55.562 	53.948 	51.126 	51.114 
A,FC_IND_NFM_E,PC,FI	78.899 	79.882 	81.25 	82.56 	81.642 	79.181 	81.374 	84.068 	82.352 	82.138 	83.545 	78.256 	85.362 	85.294 	88.185 	87.767 	81.546 	62.709 	64.732 	63.742 	62.485 	62.373 	63.422 	65.879 	66.136 	63.034 	62.487 	65.094 	63.809 	67.261 	67.615 	68.589 	67.998 	69.72 
A,FC_IND_NFM_E,PC,FR	53.851 	49.497 	53.826 	51.814 	47.8 	53.048 	53.198 	54.32 	54.7 	54.941 	56.632 	66.712 	66.497 	72.647 	72.403 	62.304 	69.839 	71.953 	68.96 	63.25 	72.831 	69.141 	68.412 	69.693 	71.207 	71.569 	70.457 	71.218 	65.914 	67.571 	70.376 	67.27 	69.351 	73.342 
A,FC_IND_NFM_E,PC,HR	96.421 	96.39 	68.556 	60.988 	60.143 	55.417 	56.489 	35.551 	43.972 	49.533 	43.691 	45.42 	50.63 	51.714 	44.934 	52.995 	51.14 	51.124 	44.093 	50.48 	55.667 	51.557 	49.691 	49.505 	47.046 	41.053 	37.859 	45.559 	43.016 	43.114 	43.909 	41.608 	41.576 	41.842 
A,FC_IND_NFM_E,PC,HU	57.509 	39.888 	38.672 	38.945 	41.837 	47.301 	38.703 	34.176 	30.902 	33.099 	34.638 	20.242 	34.773 	34.609 	34.511 	32.962 	21.455 	21.088 	20.98 	22.324 	22.157 	22.595 	27.072 	26.819 	27.697 	29.406 	29.504 	28.486 	29.586 	31.048 	32.317 	32.234 	34.593 	39.817 
A,FC_IND_NFM_E,PC,IE	18.09 	9.667 	8.762 	8.863 	7.47 	8.405 	9.394 	9.27 	9.92 	9.515 	9.65 	9.115 	9.568 	9.85 	8.776 	9.95 	2.79 	9.037 	9.269 	10.14 	9.531 	12.017 	12.356 	11.247 	11.272 	10.453 	10.621 	10.89 	13.52 	12.492 	13.397 	12.413 	13.548 	14.426 
A,FC_IND_NFM_E,PC,IS	96.263 	96.359 	96.382 	96.475 	96.558 	96.671 	96.146 	96.818 	97.648 	97.746 	97.816 	97.972 	98.107 	98.111 	98.088 	98.026 	97.821 	99.816 	99.886 	99.891 	99.891 	99.894 	99.896 	99.899 	99.899 	99.902 	99.949 	99.962 	99.928 	99.884 	99.936 	99.937 	99.883 	99.861 
A,FC_IND_NFM_E,PC,IT	64.121 	57.812 	54.121 	54.868 	56.508 	56.838 	55.424 	55.69 	53.899 	48.37 	49.234 	50.185 	50.594 	48.852 	49.204 	50.25 	50.374 	50.415 	51.695 	51.055 	46.624 	42.166 	43.065 	32.509 	33.698 	34.185 	32.502 	31.65 	30.452 	26.385 	31.834 	33.772 	36.019 	34.368 
A,FC_IND_NFM_E,PC,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	0 	0 	: 	: 	: 	: 	: 
A,FC_IND_NFM_E,PC,LV	100 	100 	100 	: 	: 	: 	: 	: 	11.944 	6.724 	4.103 	3.005 	3.859 	3.449 	3.872 	5.086 	3.464 	3.464 	2.615 	3.448 	2.615 	4.103 	4.103 	2.548 	4.762 	0 	0 	39.962 	41.07 	42.471 	60.958 	58.589 	76.373 	48.157 
A,FC_IND_NFM_E,PC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	70.761 	73.872 	63.6 	63.558 	76.509 	99.053 	98.397 	100 	100 	99.958 	100 	100 	94.848 	95.147 	95.034 	95.174 	92.534 	100 	100 
A,FC_IND_NFM_E,PC,MK	7.211 	10.007 	11.202 	27.002 	13.638 	14.37 	14.896 	16.176 	17.047 	18.682 	16.388 	17.788 	19.274 	21.288 	97.898 	45.648 	52.219 	55.748 	14.17 	40.887 	38.095 	40.909 	45.833 	47.978 	33.583 	48 	47.571 	47.089 	46.583 	49.402 	45.065 	40.345 	46.552 	45.665 
A,FC_IND_NFM_E,PC,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	50 	100 	: 	: 	: 
A,FC_IND_NFM_E,PC,NL	83.548 	83.973 	83.336 	81.867 	79.64 	79.33 	80.389 	80.321 	82.636 	84.268 	83.289 	84.81 	84.867 	85.728 	84.684 	84.936 	84.37 	83.051 	84.173 	81.663 	82.672 	86.997 	76.465 	78.521 	72.773 	75.333 	76.961 	69.326 	71.913 	77.129 	77.103 	72.606 	60.239 	66.969 
A,FC_IND_NFM_E,PC,NO	94.034 	95.142 	95.154 	95.318 	95.575 	95.606 	95.078 	95.994 	96.122 	95.385 	94.256 	94.579 	95.94 	95.106 	96.022 	95.956 	95.681 	95.272 	95.365 	95.055 	92.761 	95.362 	96.242 	96.571 	96.481 	97 	96.82 	96.64 	96.622 	96.567 	96.572 	96.474 	96.539 	96.423 
A,FC_IND_NFM_E,PC,PL	33.137 	33.735 	46.749 	44.345 	38.194 	36.048 	34.794 	37.032 	49.465 	51.819 	50.237 	48.622 	50.247 	50.803 	53.402 	55.094 	55.287 	54.688 	50.74 	48.127 	40.825 	41.549 	41.438 	41.75 	42.608 	42.024 	42.179 	42.741 	42.423 	42.978 	41.786 	42.522 	37.561 	42.593 
A,FC_IND_NFM_E,PC,PT	32.224 	34.609 	30.479 	38.723 	36.198 	35.068 	26.121 	26.68 	25.4 	29.353 	23.284 	28.193 	43.791 	43.361 	39.809 	44.288 	43.937 	37.942 	33.967 	37.268 	45.301 	38.284 	52.023 	43.901 	40.965 	37.531 	33.883 	33.591 	33.612 	33.401 	31.001 	30.79 	31.237 	32.424 
A,FC_IND_NFM_E,PC,RO	94.352 	100 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100 	63.822 	66.407 	66.244 	63.954 	62.471 	67.204 
A,FC_IND_NFM_E,PC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100 	37.481 	35.963 	81.819 	24.651 	25.327 	25.916 	52.56 	58.61 	74.34 	67.522 	44.454 	50.783 	48.783 	47.741 	63.11 	45.623 	42.371 	36.408 	41.327 
A,FC_IND_NFM_E,PC,SE	71.985 	71.29 	70.49 	66.821 	73.768 	73.018 	74.558 	76.538 	74.389 	74.814 	72.54 	78.137 	79.806 	79.872 	81.26 	80.302 	80.179 	80.516 	77.847 	76.276 	75.437 	80.809 	80.44 	80.361 	78.56 	78.445 	77.997 	78.106 	77.92 	76.572 	76.233 	76.19 	78.151 	75.703 
A,FC_IND_NFM_E,PC,SI	67.559 	68.156 	73.029 	74.379 	77.052 	83.618 	93.176 	81.26 	86.373 	73.065 	85.524 	84.293 	88.292 	87.272 	87.068 	87.758 	85.816 	83.051 	74.217 	55.587 	64.473 	74.378 	74.651 	74.451 	74.33 	72.424 	72.812 	68.503 	68.941 	71.312 	62.618 	53.396 	46.462 	32.759 
A,FC_IND_NFM_E,PC,SK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	84.8 	77.242 	81.198 	83.811 	84.772 	85.698 	83.709 	83.172 	86.918 	85.88 	85.572 	85.914 	87.163 	86.964 	86.06 	86.305 	84.36 	85.927 	85.758 	84.32 	82.266 	75.418 	34.976 
A,FC_IND_NFM_E,PC,TR	30.642 	36.742 	37.997 	37.602 	34.566 	32.488 	36.675 	34.529 	33.91 	31.153 	28.93 	30.134 	29.91 	29.035 	25.455 	22.669 	22.859 	25.856 	59.618 	28.541 	26.791 	25.375 	25.375 	29.479 	28.101 	29.361 	28.189 	34.938 	38.282 	38.716 	43.947 	42.718 	42.47 	39.13 
A,FC_IND_NFM_E,PC,UA	0 	: 	: 	: 	: 	: 	: 	: 	100 	100 	100 	100 	100 	100 	18.48 	17.841 	17.044 	33.406 	18.924 	27.167 	17.519 	21.842 	17.73 	22.47 	22.523 	22.498 	25.212 	20.729 	20.138 	19.674 	18.662 	: 	: 	: 
A,FC_IND_NFM_E,PC,UK	49.492 	47.037 	46.371 	39.781 	34.616 	39.419 	39.523 	42.174 	41.495 	39.196 	47.853 	50.758 	50.367 	58.573 	67.789 	67.265 	66.288 	68.712 	73.439 	74.641 	76.284 	76.894 	69.848 	67.663 	68.585 	58.797 	59.667 	58.361 	57.56 	56.65 	: 	: 	: 	: 
A,FC_IND_NFM_E,PC,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.48 	0.57 	0.57 	0.539 	0.704 	0.69 	0.665 	0.622 	2.182 	1.898 	2.082 	2.402 	3.677 	5.684 	5.658 	4.069 	4.694 	5.903 	5.578 	5.985 	6.619 	6.477 	8.176 	: 
A,FC_IND_NMM_E,PC,AL	: 	: 	: 	: 	: 	0 	0 	: 	: 	25.48 	28.947 	27.051 	65.059 	23.189 	28.397 	23.784 	10.413 	10.219 	16.72 	6.571 	6.576 	6.62 	13.209 	5.945 	5.401 	6.16 	7.209 	3.664 	3.359 	5.186 	4.696 	3.928 	5.2 	5.93 
A,FC_IND_NMM_E,PC,AT	17.152 	17.545 	17.765 	16.582 	18.579 	17.289 	15.009 	12.883 	13.644 	20.613 	20.637 	21.941 	21.562 	21.026 	18.752 	20.321 	18.62 	18.244 	18.336 	18.047 	18.912 	18.07 	19.659 	20.683 	22.553 	22.506 	21.506 	21.613 	22.682 	23.122 	21.123 	18.788 	18.241 	19.089 
A,FC_IND_NMM_E,PC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.867 	15.682 	15.839 	14.568 	9.058 	16.672 	11.235 	12.085 	15.054 	: 
A,FC_IND_NMM_E,PC,BE	11.976 	12.114 	13.38 	14.31 	13.801 	14.774 	15.594 	16.526 	16.743 	16.745 	14.642 	15.566 	16.161 	14.519 	14.042 	13.992 	11.968 	14.408 	13.681 	14.311 	11.096 	15.658 	15.737 	14.974 	15.108 	14.856 	14.402 	13.4 	13.062 	12.421 	13.409 	13.215 	14.601 	14.816 
A,FC_IND_NMM_E,PC,BG	8.982 	8.174 	6.893 	9.511 	8.779 	8.936 	8.828 	9.087 	10.25 	11.02 	10.569 	10.648 	9.378 	9.788 	10.117 	11.06 	11.195 	10.922 	12.016 	12.135 	10.899 	12.749 	13.282 	12.567 	13.972 	14.267 	13.712 	14.055 	14.205 	14.715 	14.381 	14.191 	13.843 	15.555 
A,FC_IND_NMM_E,PC,CY	11.381 	4.554 	6.298 	6.349 	6.302 	6.323 	5.835 	6.683 	7.246 	6.583 	7.031 	7.595 	7.525 	7.984 	7.7 	8.88 	9.286 	9.2 	9.233 	9.222 	9.686 	10.977 	10.488 	9.103 	7.889 	8.658 	8.929 	9.549 	9.711 	10.09 	9.407 	9.629 	11.663 	11.947 
A,FC_IND_NMM_E,PC,CZ	37.59 	37.27 	37.142 	15.803 	12.427 	13.251 	13.296 	13.468 	13.787 	15.78 	14.824 	16.091 	16.215 	17.863 	17.575 	18.63 	18.072 	18.275 	18.186 	17.554 	17.167 	18.402 	18.205 	18.169 	18.747 	18.529 	18.311 	18.21 	18.172 	17.58 	17.52 	18.212 	19.162 	19.229 
A,FC_IND_NMM_E,PC,DE	13.926 	15.036 	15.796 	12.271 	10.516 	16.07 	16.744 	16.88 	16.967 	17.435 	17.837 	19.982 	19.62 	15.816 	15.686 	15.897 	15.903 	16.405 	15.623 	15.644 	16.14 	16.384 	16.185 	16.098 	15.851 	16.13 	16.232 	16.34 	15.856 	15.957 	14.625 	15.974 	16.112 	16.126 
A,FC_IND_NMM_E,PC,DK	12.58 	11.534 	11.056 	11.294 	11.984 	11.052 	10.895 	10.725 	11.235 	12.235 	12.686 	12.555 	13.498 	12.692 	12.462 	13.36 	12.839 	12.506 	13.812 	14.366 	14.538 	13.225 	14.171 	14.653 	14.468 	14.683 	14.172 	13.2 	13.257 	12.744 	13.351 	13.954 	14.139 	16.653 
A,FC_IND_NMM_E,PC,EA19	12.497 	12.926 	13.629 	13.211 	13.222 	14.924 	15.386 	15.329 	15.28 	15.508 	15.117 	15.585 	16.193 	15.068 	15.155 	15.154 	15.486 	15.768 	15.505 	16.266 	16.197 	15.597 	16.031 	16.019 	16.237 	15.91 	15.868 	16.397 	16.203 	16.263 	15.758 	16.481 	16.425 	16.731 
A,FC_IND_NMM_E,PC,EA20	12.488 	12.919 	13.61 	13.2 	13.208 	14.893 	15.342 	15.282 	15.246 	15.466 	15.072 	15.516 	16.123 	15.042 	15.104 	15.1 	15.438 	15.71 	15.452 	16.215 	16.163 	15.572 	16.005 	15.987 	16.21 	15.899 	15.863 	16.384 	16.195 	16.264 	15.772 	16.481 	16.422 	16.714 
A,FC_IND_NMM_E,PC,EE	0 	6.095 	8.836 	7.539 	10.115 	10.364 	10.421 	15.598 	10.607 	13.25 	10.672 	8.712 	14.923 	17.603 	16.429 	14.531 	15.236 	11.219 	10.736 	15.108 	15.891 	13.562 	15.168 	10.083 	13.894 	16.086 	18.653 	13.55 	15.567 	16.592 	34.113 	47.445 	47.224 	34.06 
A,FC_IND_NMM_E,PC,EL	11.978 	11.642 	11.857 	11.622 	11.797 	11.933 	12.614 	12.303 	13.003 	14.468 	13.759 	12.879 	14.261 	15.867 	15.853 	18.318 	17.891 	14.894 	17.041 	17.913 	15.193 	12.61 	11.942 	12.903 	12.418 	11.584 	9.947 	12.783 	15.396 	15.546 	16.962 	16.298 	17.547 	18.277 
A,FC_IND_NMM_E,PC,ES	13.05 	12.757 	13.056 	15.044 	13.77 	13.353 	13.847 	12.903 	12.856 	13.943 	12.91 	13.276 	15.22 	14.002 	15.254 	15.116 	14.991 	15.273 	14.372 	14.61 	14.014 	11.59 	14.015 	13.523 	13.981 	13.669 	12.593 	12.906 	12.682 	12.967 	13.289 	14.993 	15.043 	15.11 
A,FC_IND_NMM_E,PC,EU27_2020	12.451 	12.803 	13.212 	12.693 	12.626 	14.016 	14.387 	14.466 	14.636 	15.059 	14.695 	15.132 	15.577 	14.758 	14.915 	14.966 	15.48 	15.569 	15.533 	16.186 	16.179 	15.692 	16.113 	16.13 	16.373 	16.269 	16.254 	16.662 	16.402 	16.456 	16.07 	16.672 	16.583 	16.717 
A,FC_IND_NMM_E,PC,EU28	12.924 	13.341 	13.761 	13.262 	13.131 	14.573 	14.975 	15.026 	15.23 	15.692 	15.343 	15.553 	15.996 	15.272 	15.487 	15.467 	15.979 	16.03 	16.033 	16.706 	16.757 	16.307 	16.712 	16.664 	16.826 	16.521 	16.566 	16.978 	16.795 	16.829 	16.07 	16.672 	16.583 	16.717 
A,FC_IND_NMM_E,PC,FI	9.49 	9.455 	11.064 	9.958 	7.747 	9.586 	18.797 	21.895 	18.619 	19.733 	19.461 	19.678 	19.897 	19.927 	19.617 	20.272 	20.627 	20.038 	19.527 	20.867 	20.649 	21.303 	21.298 	21.42 	20.62 	19.836 	20.015 	21.849 	22.267 	22.812 	22.311 	21.947 	21.693 	23.295 
A,FC_IND_NMM_E,PC,FR	13.503 	13.43 	13.64 	14.845 	20.599 	20.48 	20.744 	20.847 	20.322 	20.088 	18.791 	16.934 	16.774 	17.182 	18.15 	17.699 	17.878 	18.484 	20.272 	20.183 	20.962 	18.096 	18.271 	18.17 	18.151 	18.681 	18.644 	20.111 	18.992 	18.894 	18.365 	18.166 	18.244 	18.506 
A,FC_IND_NMM_E,PC,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.232 	8.079 	9.457 	12.194 	10.929 	10.339 	13.525 	14.953 	18.543 	15.874 	: 
A,FC_IND_NMM_E,PC,HR	11.886 	12.31 	11.844 	12.105 	11.897 	11.655 	11.21 	11.04 	12.29 	12.018 	11.384 	10.662 	11.212 	13.078 	11.407 	11.337 	12.147 	11.812 	12.039 	12.78 	13.724 	13.498 	13.904 	13.526 	14.171 	15.027 	15.507 	15.533 	15.627 	16.316 	16.762 	16.482 	16.208 	15.695 
A,FC_IND_NMM_E,PC,HU	9.602 	9.433 	9.73 	9.745 	7.084 	8.193 	9.945 	10.486 	12.094 	12.641 	12.988 	13.273 	12.888 	12.304 	12.943 	12.329 	13.13 	12.879 	14.914 	17.322 	18.049 	18.518 	26.754 	22.428 	22.94 	23.557 	23.142 	22.177 	21.118 	20.842 	22.52 	22.673 	23.196 	23.339 
A,FC_IND_NMM_E,PC,IE	10.064 	9.016 	13.068 	12.774 	15.163 	14.98 	17.178 	15.381 	17.631 	17.787 	13.236 	10.539 	11.462 	10.536 	9.453 	10.948 	13.062 	13.058 	12.959 	16.226 	16.841 	17.338 	14.02 	14.474 	14.275 	13.746 	14.446 	13.987 	15.309 	15.266 	14.578 	14.9 	15.258 	15.476 
