freq,nrg_bal,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,FC_E,PC,FI	24.184 	24.714 	25.034 	26.009 	25.832 	26.306 	26.283 	27.107 	27.002 	27.404 	27.952 	27.97 	28.065 	28.126 	28.666 	28.915 	29.316 	29.284 	29.187 	29.084 	28.671 	29.033 	28.979 	29.18 	29.063 	29.282 	28.966 	28.236 	28.441 	28.159 	28.444 	28.457 	28.542 	28.401 
A,FC_E,PC,FR	20.317 	20.18 	20.666 	20.961 	21.745 	21.86 	21.627 	22.011 	22.147 	22.456 	22.805 	22.578 	22.945 	23.452 	23.845 	24.114 	24.795 	25.402 	25.368 	25.263 	26.108 	25.702 	25.979 	25.877 	26.453 	26.424 	26.384 	26.371 	26.565 	26.503 	27.56 	26.545 	26.616 	26.589 
A,FC_E,PC,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.259 	22.162 	21.733 	21.646 	22.879 	24.703 	24.303 	23.564 	24.29 	23.487 	: 
A,FC_E,PC,HR	18.068 	17.648 	16.818 	16.159 	16.409 	16.394 	15.512 	16.262 	16.097 	16.511 	17.18 	16.549 	17.295 	16.499 	17.013 	17.302 	18.069 	18.365 	18.98 	18.783 	19.129 	19.678 	20.124 	20.037 	20.804 	20.343 	20.137 	20.225 	20.812 	20.65 	20.339 	20.593 	20.788 	20.258 
A,FC_E,PC,HU	14.343 	14.071 	15.431 	14.882 	15.235 	15.292 	15.242 	15.917 	15.94 	15.669 	16.192 	15.953 	16.388 	15.645 	16.054 	15.308 	15.981 	17.183 	17.498 	17.21 	17.425 	17.555 	18.807 	18.446 	18.933 	18.541 	18.493 	18.517 	18.989 	19.247 	19.557 	19.086 	19.792 	20.882 
A,FC_E,PC,IE	14.616 	15.077 	16.135 	16.274 	16.295 	16.816 	17.126 	17.509 	17.087 	17.205 	17.107 	17.158 	17.77 	18.202 	17.698 	17.738 	18.073 	18.201 	18.656 	19.34 	19.521 	20.643 	20.991 	20.865 	20.947 	21.097 	20.776 	21.074 	21.153 	21.6 	22.704 	23.305 	23.723 	24.786 
A,FC_E,PC,IS	25.173 	25.081 	24.391 	25.137 	25.075 	25.749 	24.727 	26.961 	30.276 	33.41 	34.227 	35.28 	35.48 	35.513 	35.598 	35.806 	38.669 	42.604 	51.667 	52.521 	53.647 	54.602 	54.084 	53.442 	52.82 	52.732 	53.109 	53.999 	51.63 	53.407 	53.539 	52.875 	53.761 	53.422 
A,FC_E,PC,IT	17.656 	17.612 	17.923 	17.934 	18.826 	18.543 	18.536 	19 	18.971 	18.749 	19.602 	19.735 	19.973 	19.6 	19.833 	19.672 	20.458 	20.612 	20.605 	20.456 	20.915 	22.084 	21.89 	21.667 	22.237 	22.049 	22.047 	22.097 	22.048 	22.19 	22.961 	21.9 	22.276 	22.107 
A,FC_E,PC,LT	10.829 	10.231 	12.515 	11.824 	11.941 	12.009 	12.628 	12.915 	13.077 	13.986 	14.239 	14.258 	14.247 	14.769 	15.072 	14.839 	14.868 	14.802 	15.388 	15.626 	15.06 	15.603 	15.852 	16.34 	16.545 	16.806 	16.756 	16.509 	16.356 	16.6 	16.85 	16.938 	17.052 	16.501 
A,FC_E,PC,LU	12.985 	12.204 	12.127 	12.263 	13.26 	15.689 	14.881 	15.247 	15.928 	15.849 	15.592 	15.096 	15.227 	14.926 	13.876 	13.077 	14.195 	14.73 	14.379 	14.363 	14.554 	14.336 	14.113 	14.201 	14.779 	15.139 	15.49 	15.233 	14.857 	14.505 	16.09 	15.982 	17.49 	17.811 
A,FC_E,PC,LV	11.275 	11.184 	10.628 	9.135 	9.372 	10.042 	9.464 	9.769 	10.863 	11.415 	11.927 	11.113 	11.687 	11.903 	12.043 	12.441 	12.797 	13.29 	14.05 	13.327 	13.352 	14.191 	15.066 	15.15 	14.988 	15.096 	15.074 	14.388 	14.233 	14.54 	14.769 	14.558 	14.543 	14.327 
A,FC_E,PC,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.457 	12.445 	13.156 	13.66 	13.671 	13.446 	12.671 	12.298 	12.302 	12.706 	13.196 	12.865 	14.216 	14.533 
A,FC_E,PC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	43.121 	43.011 	39.864 	37.683 	35.817 	38.635 	40.812 	39.611 	36.299 	35.703 	34.763 	33.345 	33.679 	33.546 	34.526 	34.897 	32.153 	29.754 	30.685 
A,FC_E,PC,MK	28.098 	29.932 	28.692 	26.017 	27.627 	29.657 	24.781 	28.056 	29.377 	27.609 	28.704 	31.017 	29.586 	30.035 	30.967 	30.777 	31.558 	31.287 	33.003 	32.857 	32.589 	33.333 	32.634 	32.223 	32.189 	31.046 	28.82 	28.223 	28.644 	27.691 	29.504 	28.666 	28.1 	26.959 
A,FC_E,PC,MT	29.766 	33.631 	33.664 	31.645 	30.695 	28.475 	32.925 	28.501 	32.23 	33.589 	42.193 	43.644 	51.772 	49.027 	45.029 	42.487 	42.27 	41.14 	39.378 	40.49 	39.077 	41.303 	41.086 	39.816 	39.567 	39.315 	39.683 	40.463 	39.912 	39.002 	40.572 	40.875 	39.071 	39.156 
