freq,siec,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,C0000X0350-0370,PC,EE	96.858 	87.197 	111.809 	14.768 	144.412 	103.394 	64.919 	14.681 	114.381 	100.182 	125.209 	67.146 	93.346 	202.537 	34.173 	88.351 	170.688 	152.261 	100.318 	3.989 	132.651 	90.945 	150.787 	88.072 	105.698 	-6.784 	70.045 	87.172 	85.235 	107.159 	391.794 	95.188 	95.804 	268.721 	100.000 
A,C0000X0350-0370,PC,EL	11.396 	12.004 	17.108 	10.820 	11.575 	11.007 	13.279 	8.894 	9.503 	8.528 	8.497 	9.202 	6.969 	4.732 	5.096 	4.148 	2.670 	4.128 	4.972 	1.999 	5.096 	2.939 	2.278 	3.222 	2.895 	2.838 	4.356 	4.750 	5.136 	6.361 	10.176 	9.598 	-0.733 	-9.497 	-16.857 
A,C0000X0350-0370,PC,ES	36.676 	42.328 	45.568 	40.715 	39.466 	45.312 	47.449 	37.109 	47.733 	57.998 	61.317 	58.502 	66.561 	63.313 	67.329 	70.275 	75.613 	66.676 	81.957 	93.023 	92.800 	67.723 	74.799 	66.306 	75.294 	75.387 	71.483 	84.556 	79.858 	89.467 	54.808 	101.985 	144.274 	71.761 	84.742 
A,C0000X0350-0370,PC,EU27_2020	18.682 	21.526 	22.642 	19.652 	20.642 	21.796 	23.131 	24.048 	25.910 	26.765 	29.849 	31.318 	32.022 	33.288 	36.106 	35.711 	37.585 	38.332 	41.579 	36.554 	38.235 	40.421 	39.847 	39.039 	41.490 	40.997 	41.100 	43.244 	43.783 	43.308 	35.807 	37.231 	45.893 	40.600 	34.170 
A,C0000X0350-0370,PC,FI	106.961 	92.792 	89.908 	97.074 	106.939 	89.470 	87.400 	100.564 	90.567 	73.776 	97.630 	100.975 	88.853 	112.892 	102.354 	101.974 	88.455 	95.100 	112.617 	108.196 	86.302 	115.327 	86.827 	88.331 	117.482 	91.309 	91.778 	91.463 	100.668 	98.863 	92.208 	72.403 	126.266 	70.408 	90.819 
A,C0000X0350-0370,PC,FR	63.949 	65.551 	74.657 	61.562 	54.508 	56.387 	64.020 	66.224 	74.805 	79.108 	86.282 	88.166 	92.822 	81.754 	94.264 	94.378 	104.870 	92.221 	109.970 	91.658 	100.960 	100.722 	96.707 	93.953 	98.998 	98.388 	93.660 	101.944 	101.006 	99.554 	96.299 	73.494 	81.589 	74.811 	67.695 
A,C0000X0350-0370,PC,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	48.825 	57.298 	55.733 	62.917 	62.537 	88.380 	105.137 	82.181 	72.593 	67.162 	: 	: 
A,C0000X0350-0370,PC,HR	75.765 	58.291 	93.251 	77.822 	77.028 	86.281 	69.463 	59.899 	82.089 	121.884 	110.883 	92.767 	102.049 	99.723 	109.337 	91.300 	108.969 	101.836 	112.211 	89.783 	102.558 	98.385 	87.835 	110.145 	92.356 	103.040 	101.997 	100.725 	91.331 	107.309 	105.977 	100.714 	100.916 	109.166 	78.678 
A,C0000X0350-0370,PC,HU	26.278 	37.252 	26.310 	26.802 	33.171 	29.809 	30.552 	29.935 	26.115 	25.733 	28.088 	27.549 	24.847 	26.725 	31.588 	42.455 	40.783 	43.996 	46.606 	37.009 	41.883 	36.190 	34.112 	26.542 	27.909 	33.679 	32.467 	44.121 	48.409 	45.682 	43.677 	38.517 	41.368 	24.884 	7.862 
A,C0000X0350-0370,PC,IE	95.537 	98.037 	103.792 	100.138 	89.149 	106.102 	93.334 	108.379 	99.207 	96.339 	93.252 	100.420 	102.911 	95.773 	102.761 	100.822 	100.216 	90.055 	113.203 	112.671 	77.704 	114.517 	89.559 	112.406 	97.778 	102.977 	84.292 	109.795 	112.806 	67.896 	59.181 	105.981 	127.154 	88.066 	54.169 
