freq,siec,partner,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 
A,O4000XBIO,DZ,PC,HR	0.73 i	0.44 i	0.58 i	0.62 i	0.78 i	0.99 i
A,O4000XBIO,DZ,PC,HU	0.32 i	0.28 i	0.28 i	0.18 i	0.15 i	0.45 i
A,O4000XBIO,DZ,PC,IE	3.68 i	1.85 i	3.68 i	4.03 i	1.61 i	0.25 i
A,O4000XBIO,DZ,PC,IS	0.07 i	0.10 i	0.10 i	0.08 i	0.11 i	0.03 i
A,O4000XBIO,DZ,PC,IT	3.63 i	3.69 i	3.29 i	3.87 i	3.49 i	3.08 i
A,O4000XBIO,DZ,PC,LI	: m	: m	2.54 i	: m	2.91 i	: m
A,O4000XBIO,DZ,PC,LT	1.58 i	0.01 i	0.01 i	0.01 i	0.01 i	0.01 i
A,O4000XBIO,DZ,PC,LU	1.41 i	2.13 i	1.88 i	1.96 i	1.68 i	1.73 i
A,O4000XBIO,DZ,PC,LV	0.75 i	0.01 i	0.01 i	0.01 i	0.01 i	0.01 i
A,O4000XBIO,DZ,PC,MD	0.01 i	0.01 i	0.03 i	0.01 i	0.01 i	0.03 i
A,O4000XBIO,DZ,PC,ME	0.17 i	0.05 i	0.20 i	0.28 i	0.58 i	2.49 i
A,O4000XBIO,DZ,PC,MK	0.09 i	0.06 i	0.20 i	0.19 i	0.72 i	2.64 i
A,O4000XBIO,DZ,PC,MT	2.67 i	4.22 i	2.90 i	2.20 i	2.37 i	16.37 i
A,O4000XBIO,DZ,PC,NL	3.28 i	2.46 i	2.50 i	2.53 i	2.92 i	2.65 i
A,O4000XBIO,DZ,PC,NO	: m	: m	: m	: m	: m	: m
A,O4000XBIO,DZ,PC,PL	0.17 i	0.18 i	0.51 i	0.14 i	0.13 i	0.08 i
A,O4000XBIO,DZ,PC,PT	8.02 i	6.26 i	4.88 i	4.62 i	6.74 i	3.82 i
A,O4000XBIO,DZ,PC,RO	0.09 i	0.08 i	0.12 i	0.09 i	0.09 i	0.16 i
A,O4000XBIO,DZ,PC,RS	0.04 i	0.05 i	0.05 i	0.05 i	0.04 i	0.08 i
A,O4000XBIO,DZ,PC,SE	0.25 i	0.19 i	0.17 i	0.13 i	0.55 i	0.13 i
A,O4000XBIO,DZ,PC,SI	4.21 i	1.93 i	1.88 i	1.67 i	1.65 i	2.53 i
A,O4000XBIO,DZ,PC,SK	0.28 i	0.23 i	0.27 i	0.17 i	0.17 i	0.31 i
A,O4000XBIO,DZ,PC,TR	3.11 i	2.46 i	2.76 i	3.52 i	2.49 i	2.21 i
A,O4000XBIO,DZ,PC,UA	0.12 i	0.01 i	0.06 i	0.19 i	0.08 i	0.18 i
A,O4000XBIO,DZ,PC,UK	5.97 i	2.34 i	3.58 i	4.54 i	3.58 i	: m
A,O4000XBIO,DZ,PC,XK	1.02 i	0.99 i	0.82 i	1.27 i	1.26 i	2.89 i
A,O4000XBIO,IQ,PC,AL	0.03 i	0.00 i	0.00 i	3.38 i	6.08 i	7.43 i
A,O4000XBIO,IQ,PC,AT	5.37 i	6.97 i	9.32 i	6.21 i	6.05 i	9.27 i
A,O4000XBIO,IQ,PC,BA	0.55 i	1.13 i	7.75 i	10.02 i	12.13 i	11.41 i
A,O4000XBIO,IQ,PC,BE	1.78 i	1.73 i	2.33 i	3.12 i	4.24 i	2.79 i
A,O4000XBIO,IQ,PC,BG	3.65 i	11.59 i	17.60 i	21.95 i	11.64 i	2.03 i
A,O4000XBIO,IQ,PC,CY	13.01 i	9.65 i	10.91 i	9.83 i	11.17 i	10.67 i
A,O4000XBIO,IQ,PC,CZ	0.82 i	1.18 i	0.91 i	0.70 i	0.55 i	0.63 i
