freq,siec,partner,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 
A,O4000XBIO,NO,PC,CY	11.03 i	2.20 i	1.54 i	1.09 i	1.24 i	1.89 i
A,O4000XBIO,NO,PC,CZ	1.40 i	1.61 i	1.05 i	1.42 i	1.35 i	3.38 i
A,O4000XBIO,NO,PC,DE	12.58 i	11.21 i	9.99 i	9.85 i	9.60 i	7.92 i
A,O4000XBIO,NO,PC,DK	18.34 i	16.56 i	: m	25.60 i	22.65 i	21.83 i
A,O4000XBIO,NO,PC,EE	1.81 i	1.68 i	3.37 i	2.32 i	1.97 i	3.88 i
A,O4000XBIO,NO,PC,EL	0.85 i	0.71 i	0.68 i	0.46 i	0.55 i	0.74 i
A,O4000XBIO,NO,PC,ES	2.49 i	2.16 i	3.75 i	2.52 i	3.21 i	2.03 i
A,O4000XBIO,NO,PC,FI	6.89 i	7.31 i	10.69 i	13.48 i	10.32 i	15.83 i
A,O4000XBIO,NO,PC,FR	6.04 i	7.15 i	6.94 i	4.72 i	4.70 i	6.45 i
A,O4000XBIO,NO,PC,GE	0.06 i	0.05 i	0.10 i	0.02 i	0.06 i	0.19 i
A,O4000XBIO,NO,PC,HR	0.16 i	0.20 i	0.56 i	1.88 i	0.38 i	0.37 i
A,O4000XBIO,NO,PC,HU	0.06 i	0.12 i	0.37 i	0.20 i	0.13 i	0.20 i
A,O4000XBIO,NO,PC,IE	37.32 i	37.71 i	30.97 i	23.60 i	14.76 i	7.04 i
A,O4000XBIO,NO,PC,IS	54.51 i	51.99 i	60.21 i	69.50 i	58.53 i	76.66 i
A,O4000XBIO,NO,PC,IT	0.50 i	1.59 i	1.61 i	1.56 i	1.32 i	1.96 i
A,O4000XBIO,NO,PC,LI	: m	: m	5.67 i	: m	5.18 i	: m
A,O4000XBIO,NO,PC,LT	0.12 i	0.22 i	2.98 i	1.11 i	0.24 i	0.39 i
A,O4000XBIO,NO,PC,LU	7.35 i	7.04 i	6.00 i	5.83 i	5.41 i	6.64 i
A,O4000XBIO,NO,PC,LV	0.95 i	1.08 i	2.56 i	2.38 i	1.36 i	2.23 i
A,O4000XBIO,NO,PC,MD	0.02 i	0.02 i	0.04 i	0.00 i	0.01 i	0.03 i
A,O4000XBIO,NO,PC,ME	0.26 i	0.08 i	0.03 i	0.41 i	0.22 i	0.37 i
A,O4000XBIO,NO,PC,MK	0.21 i	0.12 i	0.17 i	0.04 i	0.18 i	0.43 i
A,O4000XBIO,NO,PC,MT	4.86 i	4.35 i	5.81 i	2.97 i	9.74 i	2.85 i
A,O4000XBIO,NO,PC,NL	10.42 i	9.93 i	8.86 i	8.60 i	8.38 i	8.36 i
A,O4000XBIO,NO,PC,NO	: m	: m	: m	: m	: m	: m
A,O4000XBIO,NO,PC,PL	1.66 i	1.28 i	2.07 i	2.84 i	2.13 i	2.46 i
A,O4000XBIO,NO,PC,PT	2.39 i	2.02 i	1.63 i	2.01 i	3.10 i	6.56 i
A,O4000XBIO,NO,PC,RO	0.09 i	0.11 i	0.14 i	0.09 i	0.10 i	0.19 i
A,O4000XBIO,NO,PC,RS	0.03 i	0.12 i	0.09 i	0.04 i	0.04 i	0.06 i
A,O4000XBIO,NO,PC,SE	24.93 i	22.15 i	25.96 i	27.69 i	33.29 i	48.06 i
A,O4000XBIO,NO,PC,SI	0.53 i	0.76 i	1.07 i	0.82 i	0.62 i	1.52 i
A,O4000XBIO,NO,PC,SK	0.12 i	0.11 i	0.16 i	0.26 i	0.26 i	0.31 i
A,O4000XBIO,NO,PC,TR	1.05 i	1.30 i	1.57 i	1.05 i	0.80 i	5.69 i
A,O4000XBIO,NO,PC,UA	0.09 i	0.06 i	0.26 i	0.14 i	0.07 i	0.24 i
A,O4000XBIO,NO,PC,UK	20.04 i	21.76 i	18.74 i	14.89 i	14.83 i	: m
A,O4000XBIO,NO,PC,XK	0.22 i	0.46 i	0.47 i	0.37 i	1.65 i	0.90 i
A,O4000XBIO,RU,PC,AL	0.02 i	0.00 i	0.00 i	7.73 i	8.76 i	12.89 i
A,O4000XBIO,RU,PC,AT	18.83 i	21.85 i	18.13 i	14.23 i	14.08 i	18.75 i
A,O4000XBIO,RU,PC,BA	53.61 i	48.18 i	51.69 i	38.33 i	14.85 i	12.93 i
A,O4000XBIO,RU,PC,BE	33.39 i	35.08 i	41.46 i	34.79 i	28.60 i	28.11 i
A,O4000XBIO,RU,PC,BG	71.67 i	67.59 i	54.10 i	57.38 i	58.12 i	12.68 i
A,O4000XBIO,RU,PC,CY	14.55 i	16.00 i	12.80 i	8.65 i	12.33 i	15.84 i
A,O4000XBIO,RU,PC,CZ	53.51 i	57.46 i	50.55 i	50.03 i	45.67 i	46.94 i
A,O4000XBIO,RU,PC,DE	35.39 i	39.40 i	38.25 i	37.05 i	32.13 i	33.59 i
A,O4000XBIO,RU,PC,DK	26.04 i	29.13 i	: m	16.88 i	12.12 i	16.61 i
A,O4000XBIO,RU,PC,EE	72.40 i	75.29 i	70.46 i	65.96 i	72.08 i	69.19 i
A,O4000XBIO,RU,PC,EL	27.98 i	22.71 i	21.14 i	23.79 i	22.08 i	27.39 i
A,O4000XBIO,RU,PC,ES	9.20 i	10.37 i	8.11 i	5.22 i	7.03 i	7.31 i
A,O4000XBIO,RU,PC,FI	76.19 i	78.93 i	76.77 i	74.84 i	78.88 i	69.62 i
A,O4000XBIO,RU,PC,FR	15.26 i	17.01 i	18.92 i	17.58 i	16.16 i	17.56 i
A,O4000XBIO,RU,PC,GE	27.47 i	29.67 i	28.70 i	33.04 i	36.13 i	33.57 i
A,O4000XBIO,RU,PC,HR	26.42 i	17.70 i	17.25 i	18.13 i	16.22 i	15.77 i
A,O4000XBIO,RU,PC,HU	65.03 i	60.57 i	50.01 i	52.07 i	56.26 i	50.51 i
A,O4000XBIO,RU,PC,IE	6.49 i	9.24 i	11.78 i	14.60 i	11.34 i	7.20 i
A,O4000XBIO,RU,PC,IS	1.82 i	5.42 i	3.70 i	4.82 i	2.70 i	1.86 i
A,O4000XBIO,RU,PC,IT	15.71 i	14.28 i	11.54 i	11.39 i	15.02 i	12.36 i
A,O4000XBIO,RU,PC,LI	: m	: m	24.65 i	: m	20.03 i	: m
A,O4000XBIO,RU,PC,LT	72.33 i	78.34 i	64.73 i	67.61 i	77.47 i	71.93 i
A,O4000XBIO,RU,PC,LU	24.99 i	26.17 i	30.53 i	25.00 i	21.46 i	21.56 i
A,O4000XBIO,RU,PC,LV	63.68 i	69.49 i	62.12 i	52.96 i	64.70 i	68.17 i
A,O4000XBIO,RU,PC,MD	34.70 i	42.65 i	42.54 i	39.62 i	33.56 i	34.00 i
A,O4000XBIO,RU,PC,ME	23.43 i	18.88 i	17.62 i	19.36 i	15.95 i	18.68 i
A,O4000XBIO,RU,PC,MK	27.61 i	25.84 i	22.01 i	25.07 i	24.16 i	21.75 i
A,O4000XBIO,RU,PC,MT	26.61 i	22.17 i	9.74 i	14.04 i	13.34 i	15.22 i
A,O4000XBIO,RU,PC,NL	35.73 i	38.87 i	39.07 i	38.47 i	28.97 i	28.01 i
A,O4000XBIO,RU,PC,NO	: m	: m	: m	: m	: m	: m
A,O4000XBIO,RU,PC,PL	78.88 i	75.64 i	72.03 i	71.85 i	66.47 i	69.47 i
A,O4000XBIO,RU,PC,PT	10.21 i	19.61 i	23.90 i	20.32 i	13.21 i	5.49 i
A,O4000XBIO,RU,PC,RO	34.73 i	34.91 i	34.55 i	34.16 i	33.69 i	29.13 i
A,O4000XBIO,RU,PC,RS	50.77 i	43.31 i	31.77 i	37.42 i	40.31 i	25.48 i
A,O4000XBIO,RU,PC,SE	44.44 i	44.82 i	37.97 i	35.19 i	31.81 i	17.27 i
A,O4000XBIO,RU,PC,SI	14.63 i	17.50 i	17.35 i	15.84 i	27.83 i	26.26 i
A,O4000XBIO,RU,PC,SK	84.41 i	82.96 i	80.41 i	80.46 i	80.90 i	83.63 i
A,O4000XBIO,RU,PC,TR	19.72 i	20.23 i	20.26 i	22.83 i	32.12 i	18.96 i
A,O4000XBIO,RU,PC,UA	29.17 i	25.34 i	29.86 i	33.99 i	35.61 i	34.22 i
A,O4000XBIO,RU,PC,UK	10.30 i	10.85 i	12.61 i	12.09 i	11.23 i	: m
A,O4000XBIO,RU,PC,XK	19.73 i	17.95 i	17.12 i	16.35 i	15.54 i	20.49 i
A,O4000XBIO,SA,PC,AL	0.01 i	0.00 i	0.00 i	2.71 i	1.46 i	2.71 i
A,O4000XBIO,SA,PC,AT	4.82 i	4.28 i	1.51 i	1.39 i	1.33 i	4.08 i
A,O4000XBIO,SA,PC,BA	0.23 i	0.28 i	2.29 i	2.09 i	4.06 i	3.42 i
A,O4000XBIO,SA,PC,BE	15.89 i	18.52 i	13.76 i	14.50 i	14.14 i	14.10 i
A,O4000XBIO,SA,PC,BG	1.40 i	3.05 i	1.12 i	1.20 i	12.51 i	0.29 i
A,O4000XBIO,SA,PC,CY	5.45 i	8.69 i	7.15 i	5.47 i	5.06 i	6.08 i
A,O4000XBIO,SA,PC,CZ	0.37 i	1.67 i	1.89 i	1.32 i	1.60 i	2.19 i
A,O4000XBIO,SA,PC,DE	2.00 i	1.91 i	1.80 i	2.41 i	2.96 i	3.06 i
A,O4000XBIO,SA,PC,DK	1.33 i	0.33 i	: m	0.44 i	0.66 i	0.98 i
A,O4000XBIO,SA,PC,EE	0.06 i	1.47 i	2.66 i	4.49 i	2.65 i	3.26 i
A,O4000XBIO,SA,PC,EL	8.23 i	7.94 i	7.24 i	6.04 i	5.64 i	6.06 i
A,O4000XBIO,SA,PC,ES	10.52 i	10.49 i	10.49 i	11.19 i	10.93 i	9.72 i
A,O4000XBIO,SA,PC,FI	0.28 i	0.22 i	0.68 i	0.30 i	0.35 i	0.29 i
A,O4000XBIO,SA,PC,FR	13.87 i	12.65 i	10.85 i	14.75 i	14.68 i	11.66 i
A,O4000XBIO,SA,PC,GE	0.66 i	0.86 i	0.45 i	0.46 i	1.14 i	0.38 i
A,O4000XBIO,SA,PC,HR	4.71 i	5.54 i	4.55 i	2.75 i	6.27 i	2.09 i
A,O4000XBIO,SA,PC,HU	0.30 i	2.02 i	0.31 i	1.73 i	0.56 i	0.61 i
A,O4000XBIO,SA,PC,IE	2.01 i	1.81 i	1.33 i	1.91 i	1.91 i	3.11 i
A,O4000XBIO,SA,PC,IS	0.06 i	0.30 i	22.15 i	1.16 i	0.27 i	0.12 i
A,O4000XBIO,SA,PC,IT	8.87 i	9.07 i	9.72 i	11.62 i	8.43 i	11.95 i
A,O4000XBIO,SA,PC,LI	: m	: m	6.08 i	: m	7.55 i	: m
A,O4000XBIO,SA,PC,LT	0.02 i	2.70 i	5.36 i	10.30 i	5.67 i	9.23 i
A,O4000XBIO,SA,PC,LU	12.37 i	13.82 i	9.62 i	10.51 i	10.08 i	9.81 i
A,O4000XBIO,SA,PC,LV	0.02 i	0.98 i	2.36 i	4.17 i	2.41 i	4.50 i
A,O4000XBIO,SA,PC,MD	0.11 i	0.12 i	0.14 i	0.05 i	0.17 i	0.06 i
A,O4000XBIO,SA,PC,ME	5.72 i	5.40 i	4.87 i	3.73 i	3.97 i	3.43 i
A,O4000XBIO,SA,PC,MK	4.70 i	4.85 i	4.77 i	3.93 i	4.55 i	3.63 i
A,O4000XBIO,SA,PC,MT	5.53 i	6.91 i	4.83 i	7.54 i	5.83 i	4.36 i
A,O4000XBIO,SA,PC,NL	4.06 i	5.46 i	3.79 i	3.94 i	5.20 i	5.52 i
A,O4000XBIO,SA,PC,NO	: m	: m	: m	: m	: m	: m
A,O4000XBIO,SA,PC,PL	1.34 i	4.79 i	5.34 i	6.13 i	10.88 i	12.60 i
A,O4000XBIO,SA,PC,PT	12.17 i	10.00 i	10.01 i	9.54 i	10.07 i	8.83 i
A,O4000XBIO,SA,PC,RO	0.21 i	0.35 i	0.39 i	0.32 i	0.47 i	0.45 i
A,O4000XBIO,SA,PC,RS	0.13 i	0.40 i	0.15 i	0.24 i	0.54 i	0.15 i
A,O4000XBIO,SA,PC,SE	0.84 i	0.80 i	0.25 i	0.67 i	0.42 i	0.34 i
A,O4000XBIO,SA,PC,SI	6.00 i	8.60 i	7.94 i	6.15 i	8.43 i	5.73 i
A,O4000XBIO,SA,PC,SK	0.24 i	0.39 i	0.25 i	0.26 i	0.26 i	0.37 i
A,O4000XBIO,SA,PC,TR	5.90 i	5.26 i	4.66 i	4.31 i	4.13 i	6.62 i
A,O4000XBIO,SA,PC,UA	0.34 i	0.49 i	1.14 i	1.12 i	0.88 i	1.11 i
A,O4000XBIO,SA,PC,UK	2.61 i	3.01 i	2.44 i	3.15 i	3.96 i	: m
A,O4000XBIO,SA,PC,XK	4.68 i	4.93 i	3.81 i	3.25 i	6.99 i	3.97 i
A,O4000XBIO,UK,PC,AL	0.00 i	0.00 i	0.00 i	0.37 i	0.74 i	0.36 i
A,O4000XBIO,UK,PC,AT	2.83 i	2.77 i	2.40 i	1.76 i	2.49 i	2.13 i
A,O4000XBIO,UK,PC,BA	0.00 i	0.00 i	0.51 i	0.64 i	0.76 i	0.41 i
A,O4000XBIO,UK,PC,BE	6.06 i	6.05 i	7.11 i	7.92 i	7.44 i	10.16 i
A,O4000XBIO,UK,PC,BG	0.12 i	0.10 i	0.05 i	0.09 i	0.08 i	0.15 i
A,O4000XBIO,UK,PC,CY	1.34 i	1.55 i	1.20 i	1.52 i	1.23 i	2.11 i
A,O4000XBIO,UK,PC,CZ	1.64 i	1.85 i	1.21 i	1.34 i	1.87 i	1.75 i
A,O4000XBIO,UK,PC,DE	5.06 i	4.69 i	4.56 i	4.59 i	5.59 i	10.14 i
A,O4000XBIO,UK,PC,DK	1.97 i	2.62 i	: m	2.70 i	2.90 i	4.74 i
A,O4000XBIO,UK,PC,EE	0.47 i	0.91 i	0.70 i	1.03 i	1.32 i	2.49 i
A,O4000XBIO,UK,PC,EL	0.56 i	0.71 i	0.60 i	0.76 i	0.67 i	1.31 i
A,O4000XBIO,UK,PC,ES	1.17 i	1.26 i	1.33 i	0.90 i	1.29 i	2.64 i
A,O4000XBIO,UK,PC,FI	1.18 i	1.11 i	1.07 i	1.24 i	1.85 i	3.14 i
A,O4000XBIO,UK,PC,FR	2.13 i	2.23 i	2.36 i	2.08 i	1.94 i	3.66 i
A,O4000XBIO,UK,PC,GE	0.10 i	0.09 i	0.14 i	0.12 i	0.08 i	0.09 i
A,O4000XBIO,UK,PC,HR	0.24 i	0.28 i	0.66 i	0.86 i	0.73 i	0.34 i
A,O4000XBIO,UK,PC,HU	0.08 i	0.17 i	0.59 i	0.39 i	0.28 i	0.21 i
A,O4000XBIO,UK,PC,IE	16.72 i	15.86 i	17.26 i	16.91 i	16.02 i	41.75 i
A,O4000XBIO,UK,PC,IS	0.61 i	1.06 i	1.00 i	1.65 i	1.34 i	1.74 i
A,O4000XBIO,UK,PC,IT	0.23 i	0.53 i	0.40 i	0.38 i	0.64 i	1.49 i
A,O4000XBIO,UK,PC,LI	: m	: m	4.88 i	: m	5.73 i	: m
A,O4000XBIO,UK,PC,LT	0.07 i	0.18 i	0.21 i	0.21 i	0.19 i	0.99 i
A,O4000XBIO,UK,PC,LU	4.83 i	4.84 i	6.57 i	6.78 i	6.57 i	6.88 i
A,O4000XBIO,UK,PC,LV	0.08 i	0.23 i	0.08 i	0.15 i	0.09 i	0.88 i
A,O4000XBIO,UK,PC,MD	0.05 i	0.04 i	0.04 i	0.08 i	0.03 i	0.10 i
A,O4000XBIO,UK,PC,ME	0.41 i	0.52 i	0.51 i	1.05 i	0.62 i	0.62 i
A,O4000XBIO,UK,PC,MK	0.35 i	0.56 i	0.17 i	0.84 i	0.50 i	0.60 i
A,O4000XBIO,UK,PC,MT	1.35 i	1.17 i	8.73 i	4.94 i	8.09 i	8.41 i
A,O4000XBIO,UK,PC,NL	6.55 i	6.96 i	8.25 i	8.63 i	8.12 i	13.67 i
A,O4000XBIO,UK,PC,NO	: m	: m	: m	: m	: m	: m
A,O4000XBIO,UK,PC,PL	0.74 i	0.76 i	0.90 i	1.15 i	1.19 i	0.98 i
A,O4000XBIO,UK,PC,PT	0.96 i	1.28 i	1.08 i	1.08 i	1.91 i	1.00 i
A,O4000XBIO,UK,PC,RO	0.13 i	0.15 i	0.19 i	0.17 i	0.18 i	0.26 i
A,O4000XBIO,UK,PC,RS	0.04 i	0.09 i	0.14 i	0.10 i	0.06 i	0.06 i
A,O4000XBIO,UK,PC,SE	2.18 i	2.32 i	2.58 i	2.77 i	3.16 i	7.05 i
A,O4000XBIO,UK,PC,SI	0.75 i	1.26 i	1.11 i	0.92 i	1.34 i	1.00 i
A,O4000XBIO,UK,PC,SK	0.25 i	0.23 i	0.42 i	0.50 i	0.58 i	0.27 i
A,O4000XBIO,UK,PC,TR	0.20 i	0.26 i	0.23 i	0.17 i	0.32 i	0.46 i
A,O4000XBIO,UK,PC,UA	0.06 i	0.06 i	0.06 i	0.09 i	0.10 i	0.12 i
A,O4000XBIO,UK,PC,UK	2.01 i	2.34 i	2.38 i	2.71 i	2.43 i	: m
A,O4000XBIO,UK,PC,XK	0.23 i	0.59 i	0.27 i	0.44 i	3.73 i	0.50 i
A,O4000XBIO,US,PC,AL	0.00 i	0.00 i	0.00 i	1.03 i	1.39 i	5.05 i
A,O4000XBIO,US,PC,AT	0.52 i	0.63 i	0.86 i	1.50 i	1.49 i	5.57 i
A,O4000XBIO,US,PC,BA	0.06 i	0.05 i	0.81 i	1.37 i	2.01 i	2.94 i
A,O4000XBIO,US,PC,BE	4.58 i	4.77 i	4.75 i	6.63 i	10.63 i	9.39 i
A,O4000XBIO,US,PC,BG	3.73 i	1.44 i	3.38 i	3.61 i	4.99 i	4.44 i
A,O4000XBIO,US,PC,CY	1.90 i	4.04 i	3.93 i	3.10 i	3.86 i	3.50 i
A,O4000XBIO,US,PC,CZ	0.16 i	0.22 i	0.24 i	0.71 i	3.28 i	8.78 i
A,O4000XBIO,US,PC,DE	1.84 i	1.97 i	2.43 i	5.16 i	7.25 i	9.99 i
A,O4000XBIO,US,PC,DK	2.16 i	3.11 i	: m	8.34 i	13.89 i	14.59 i
A,O4000XBIO,US,PC,EE	1.19 i	0.33 i	0.21 i	0.15 i	0.58 i	0.83 i
A,O4000XBIO,US,PC,EL	2.79 i	2.53 i	2.49 i	3.02 i	3.26 i	3.71 i
A,O4000XBIO,US,PC,ES	4.26 i	5.11 i	3.60 i	4.18 i	5.92 i	7.51 i
A,O4000XBIO,US,PC,FI	1.16 i	1.60 i	1.18 i	0.98 i	1.78 i	4.08 i
A,O4000XBIO,US,PC,FR	5.66 i	6.66 i	6.41 i	6.86 i	9.04 i	11.92 i
A,O4000XBIO,US,PC,GE	1.07 i	0.88 i	0.82 i	0.97 i	1.17 i	0.96 i
A,O4000XBIO,US,PC,HR	1.66 i	1.21 i	2.01 i	3.70 i	2.72 i	3.65 i
A,O4000XBIO,US,PC,HU	0.19 i	0.17 i	0.32 i	0.46 i	2.22 i	0.76 i
A,O4000XBIO,US,PC,IE	5.65 i	8.87 i	8.57 i	14.97 i	33.36 i	31.18 i
A,O4000XBIO,US,PC,IS	13.72 i	18.61 i	5.98 i	12.42 i	25.72 i	5.55 i
A,O4000XBIO,US,PC,IT	2.43 i	3.14 i	3.72 i	4.08 i	3.59 i	4.17 i
A,O4000XBIO,US,PC,LI	: m	: m	2.85 i	: m	6.25 i	: m
A,O4000XBIO,US,PC,LT	1.14 i	0.05 i	0.07 i	0.07 i	0.86 i	0.10 i
A,O4000XBIO,US,PC,LU	2.85 i	3.24 i	3.11 i	4.63 i	7.32 i	7.47 i
A,O4000XBIO,US,PC,LV	0.59 i	0.27 i	0.15 i	0.08 i	0.52 i	0.50 i
A,O4000XBIO,US,PC,MD	1.52 i	1.46 i	1.56 i	1.88 i	2.11 i	2.03 i
A,O4000XBIO,US,PC,ME	1.89 i	1.56 i	1.71 i	2.26 i	2.19 i	3.30 i
A,O4000XBIO,US,PC,MK	6.38 i	7.96 i	6.40 i	8.96 i	9.87 i	18.02 i
A,O4000XBIO,US,PC,MT	3.58 i	5.41 i	5.30 i	4.03 i	7.86 i	3.72 i
A,O4000XBIO,US,PC,NL	6.63 i	5.61 i	5.66 i	6.21 i	9.70 i	11.42 i
A,O4000XBIO,US,PC,NO	: m	: m	: m	: m	: m	: m
A,O4000XBIO,US,PC,PL	0.14 i	0.19 i	0.98 i	2.35 i	2.60 i	0.67 i
A,O4000XBIO,US,PC,PT	2.57 i	3.30 i	2.66 i	3.56 i	4.46 i	8.64 i
A,O4000XBIO,US,PC,RO	2.19 i	2.23 i	2.18 i	2.68 i	2.87 i	2.27 i
A,O4000XBIO,US,PC,RS	2.12 i	1.76 i	1.12 i	1.73 i	2.06 i	1.18 i
A,O4000XBIO,US,PC,SE	0.98 i	2.29 i	1.52 i	3.02 i	6.14 i	11.57 i
A,O4000XBIO,US,PC,SI	10.91 i	8.44 i	10.00 i	13.70 i	4.68 i	3.92 i
A,O4000XBIO,US,PC,SK	0.08 i	0.06 i	0.08 i	0.17 i	0.50 i	0.83 i
A,O4000XBIO,US,PC,TR	6.85 i	8.31 i	7.56 i	9.62 i	5.83 i	7.66 i
A,O4000XBIO,US,PC,UA	0.26 i	0.09 i	0.10 i	2.05 i	2.82 i	2.37 i
A,O4000XBIO,US,PC,UK	3.18 i	5.30 i	5.35 i	8.73 i	11.10 i	: m
A,O4000XBIO,US,PC,XK	2.02 i	4.60 i	6.42 i	6.30 i	3.28 i	12.66 i
