freq,siec,partner,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 
A,G3000,NG,PC,MD	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,NG,PC,ME	: m	: m	: m	: m	: m	: m
A,G3000,NG,PC,MK	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,NG,PC,MT	: m	: m	0.00 i	14.19 i	0.00 i	0.00 i
A,G3000,NG,PC,NL	: m	: m	: m	0.01 i	1.09 i	0.68 i
A,G3000,NG,PC,NO	: m	: m	: m	: m	: m	: m
A,G3000,NG,PC,PL	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.46 i
A,G3000,NG,PC,PT	19.18 i	18.21 i	33.91 i	40.64 i	53.51 i	53.79 i
A,G3000,NG,PC,RO	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,NG,PC,RS	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,NG,PC,SE	0.00 i	0.00 i	0.01 i	0.00 i	0.03 i	0.04 i
A,G3000,NG,PC,SI	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,NG,PC,SK	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,NG,PC,TR	2.96 i	3.02 i	3.76 i	4.31 i	5.37 i	3.95 i
A,G3000,NG,PC,UA	0.00 i	0.56 i	0.45 i	0.12 i	0.30 i	0.04 i
A,G3000,NG,PC,UK	0.10 i	0.22 i	0.19 i	0.16 i	0.74 i	: m
A,G3000,NG,PC,XK	: m	: m	: m	: m	: m	: m
A,G3000,NO,PC,AL	: m	: m	: m	: m	: m	: m
A,G3000,NO,PC,AT	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,NO,PC,BA	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,NO,PC,BE	44.25 i	46.63 i	51.93 i	52.36 i	40.41 i	50.18 i
A,G3000,NO,PC,BG	0.00 i	0.00 i	0.00 i	0.00 i	2.11 i	0.31 i
A,G3000,NO,PC,CY	: m	: m	: m	: m	: m	: m
A,G3000,NO,PC,CZ	0.19 i	0.03 i	0.81 i	0.50 i	0.27 i	0.00 i
A,G3000,NO,PC,DE	28.79 i	10.99 i	9.73 i	2.92 i	2.92 i	23.79 i
A,G3000,NO,PC,DK	: m	: m	: m	: m	: m	19.58 i
A,G3000,NO,PC,EE	0.00 i	0.00 i	0.00 i	0.10 i	0.52 i	1.29 i
A,G3000,NO,PC,EL	4.93 i	2.10 i	1.26 i	0.02 i	11.66 i	2.44 i
A,G3000,NO,PC,ES	10.50 i	11.46 i	11.67 i	10.37 i	9.09 i	7.29 i
A,G3000,NO,PC,FI	0.00 i	0.00 i	0.00 i	1.56 i	2.48 i	0.81 i
A,G3000,NO,PC,FR	52.61 i	46.49 i	46.15 i	42.27 i	38.39 i	38.91 i
A,G3000,NO,PC,GE	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,NO,PC,HR	0.27 i	0.00 i	0.04 i	0.02 i	0.03 i	0.00 i
A,G3000,NO,PC,HU	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,NO,PC,IE	32.57 i	35.31 i	40.06 i	38.86 i	31.31 i	0.00 i
A,G3000,NO,PC,IS	: m	: m	: m	: m	: m	: m
A,G3000,NO,PC,IT	6.85 i	2.68 i	4.26 i	5.31 i	9.39 i	11.88 i
A,G3000,NO,PC,LI	: m	: m	32.68 i	: m	26.95 i	23.99 i
A,G3000,NO,PC,LT	17.40 i	61.71 i	35.41 i	43.23 i	53.69 i	37.51 i
A,G3000,NO,PC,LU	63.90 i	63.85 i	32.91 i	32.91 i	32.90 i	32.90 i
A,G3000,NO,PC,LV	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,NO,PC,MD	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,NO,PC,ME	: m	: m	: m	: m	: m	: m
A,G3000,NO,PC,MK	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,NO,PC,MT	: m	: m	0.73 i	1.64 i	2.37 i	0.00 i
A,G3000,NO,PC,NL	: m	: m	: m	51.47 i	46.19 i	37.31 i
A,G3000,NO,PC,NO	: m	: m	: m	: m	: m	: m
A,G3000,NO,PC,PL	5.24 i	2.43 i	2.63 i	2.75 i	1.85 i	6.04 i
A,G3000,NO,PC,PT	1.78 i	0.00 i	0.00 i	1.42 i	0.39 i	1.37 i
A,G3000,NO,PC,RO	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,NO,PC,RS	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,NO,PC,SE	10.33 i	9.33 i	26.27 i	22.94 i	19.34 i	12.10 i
A,G3000,NO,PC,SI	0.12 i	0.00 i	0.00 i	0.00 i	0.02 i	0.03 i
A,G3000,NO,PC,SK	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,NO,PC,TR	0.53 i	0.38 i	1.48 i	0.33 i	0.27 i	0.29 i
A,G3000,NO,PC,UA	18.23 i	14.05 i	7.56 i	5.48 i	3.19 i	2.27 i
A,G3000,NO,PC,UK	64.02 i	69.21 i	79.25 i	77.17 i	59.01 i	: m
A,G3000,NO,PC,XK	: m	: m	: m	: m	: m	: m
A,G3000,QA,PC,AL	: m	: m	: m	: m	: m	: m
A,G3000,QA,PC,AT	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,QA,PC,BA	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,QA,PC,BE	16.28 i	7.24 i	6.86 i	10.65 i	20.40 i	11.96 i
A,G3000,QA,PC,BG	0.00 i	0.00 i	0.00 i	0.00 i	1.94 i	2.51 i
A,G3000,QA,PC,CY	: m	: m	: m	: m	: m	: m
A,G3000,QA,PC,CZ	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,QA,PC,DE	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.04 i
A,G3000,QA,PC,DK	: m	: m	: m	: m	: m	0.00 i
