freq,unit,siec,nace_r2,geo\TIME_PERIOD	2020 	2021 	2022 	2023 
A,GWH,E7000,E36,IT	: 	: 	0.000 	0.000 
A,GWH,E7000,E36,LT	: 	: 	0.000 	0.000 
A,GWH,E7000,E36,LU	: 	: 	0.000 	0.000 
A,GWH,E7000,E36,LV	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,E36,MD	: 	: 	0.000 	0.000 
A,GWH,E7000,E36,ME	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,E36,MT	: 	173.153 	193.705 	180.844 
A,GWH,E7000,E36,NL	: 	: 	0.000 	0.000 
A,GWH,E7000,E36,NO	: 	: 	0.000 	0.000 
A,GWH,E7000,E36,PL	: 	: 	0.000 	0.000 
A,GWH,E7000,E36,PT	: 	: 	953.946 	1203.875 
A,GWH,E7000,E36,RO	: 	: 	: 	0.000 
A,GWH,E7000,E36,SE	: 	: 	0.000 	0.000 
A,GWH,E7000,E36,SI	: 	: 	158.023 	150.663 
A,GWH,E7000,E36,SK	: 	: 	0.000 	0.000 
A,GWH,E7000,E36,TR	: 	: 	: 	0.000 
A,GWH,E7000,E37,AL	: 	: 	: 	0.000 
A,GWH,E7000,E37,AT	: 	: 	0.000 	0.000 
A,GWH,E7000,E37,BE	: 	: 	0.000 	0.000 
A,GWH,E7000,E37,BG	: 	: 	0.000 	0.000 
A,GWH,E7000,E37,CZ	: 	: 	0.000 	0.000 
A,GWH,E7000,E37,DE	: 	: 	0.000 	0.000 
A,GWH,E7000,E37,DK	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,E37,EE	: 	: 	0.000 	0.000 
A,GWH,E7000,E37,FR	: 	: 	1402.390 	1399.129 
A,GWH,E7000,E37,HR	: 	: 	0.000 	0.000 
A,GWH,E7000,E37,HU	: 	: 	0.000 	0.000 
A,GWH,E7000,E37,IE	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,E37,IT	: 	: 	0.000 	0.000 
A,GWH,E7000,E37,LT	: 	: 	0.000 	0.000 
A,GWH,E7000,E37,LU	: 	: 	0.000 	0.000 
A,GWH,E7000,E37,LV	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,E37,MD	: 	: 	0.000 	0.000 
A,GWH,E7000,E37,ME	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,E37,MT	: 	: @C	: @C	: @C
A,GWH,E7000,E37,NL	: 	: 	0.000 	0.000 
A,GWH,E7000,E37,NO	: 	: 	0.000 	0.000 
A,GWH,E7000,E37,PL	: 	: 	0.000 	0.000 
A,GWH,E7000,E37,PT	: 	: 	405.171 	296.896 
A,GWH,E7000,E37,RO	: 	: 	: 	0.000 
A,GWH,E7000,E37,SE	: 	: 	0.000 	0.000 
A,GWH,E7000,E37,SI	: 	: 	8.827 	8.662 
A,GWH,E7000,E37,SK	: 	: 	0.000 	0.000 
A,GWH,E7000,E37,TR	: 	: 	: 	0.000 
A,GWH,E7000,E37-E39,AL	: 	: 	: 	0.000 
A,GWH,E7000,E37-E39,AT	: 	: 	0.000 	0.000 
A,GWH,E7000,E37-E39,BE	: 	: 	0.000 	0.000 
A,GWH,E7000,E37-E39,BG	: 	: 	0.000 	0.000 
A,GWH,E7000,E37-E39,CZ	: 	: 	0.000 	0.000 
A,GWH,E7000,E37-E39,DE	: 	: 	0.000 	0.000 
A,GWH,E7000,E37-E39,DK	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,E37-E39,EE	: 	: 	0.000 	0.000 
A,GWH,E7000,E37-E39,FR	: 	: 	4232.259 	4182.659 
A,GWH,E7000,E37-E39,HR	: 	: 	0.000 	0.000 
A,GWH,E7000,E37-E39,HU	: 	: 	0.000 	0.000 
A,GWH,E7000,E37-E39,IE	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,E37-E39,IT	: 	: 	0.000 	0.000 
A,GWH,E7000,E37-E39,LT	: 	: 	0.000 	0.000 
A,GWH,E7000,E37-E39,LU	: 	: 	0.000 	0.000 
A,GWH,E7000,E37-E39,LV	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,E37-E39,MD	: 	: 	0.000 	0.000 
A,GWH,E7000,E37-E39,ME	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,E37-E39,MT	: 	7.151 	7.204 	7.334 
A,GWH,E7000,E37-E39,NL	: 	: 	0.000 	0.000 
A,GWH,E7000,E37-E39,NO	: 	: 	0.000 	0.000 
A,GWH,E7000,E37-E39,PL	: 	: 	0.000 	0.000 
A,GWH,E7000,E37-E39,PT	: 	: 	691.855 	612.654 
A,GWH,E7000,E37-E39,RO	: 	: 	: 	0.000 
A,GWH,E7000,E37-E39,SE	: 	: 	0.000 	0.000 
A,GWH,E7000,E37-E39,SI	: 	: 	82.792 	82.105 
A,GWH,E7000,E37-E39,SK	: 	: 	0.000 	0.000 
A,GWH,E7000,E37-E39,TR	: 	: 	: 	0.000 
A,GWH,E7000,E38,AL	: 	: 	: 	0.000 
A,GWH,E7000,E38,AT	: 	: 	0.000 	0.000 
A,GWH,E7000,E38,BE	: 	: 	0.000 	0.000 
A,GWH,E7000,E38,BG	: 	: 	0.000 	0.000 
A,GWH,E7000,E38,CZ	: 	: 	0.000 	0.000 
A,GWH,E7000,E38,DE	: 	: 	0.000 	0.000 
A,GWH,E7000,E38,DK	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,E38,EE	: 	: 	0.000 	0.000 
A,GWH,E7000,E38,FR	: 	: 	2797.046 	2751.056 
A,GWH,E7000,E38,HR	: 	: 	0.000 	0.000 
A,GWH,E7000,E38,HU	: 	: 	0.000 	0.000 
A,GWH,E7000,E38,IE	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,E38,IT	: 	: 	0.000 	0.000 
A,GWH,E7000,E38,LT	: 	: 	0.000 	0.000 
A,GWH,E7000,E38,LU	: 	: 	0.000 	0.000 
A,GWH,E7000,E38,LV	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,E38,MD	: 	: 	0.000 	0.000 
A,GWH,E7000,E38,ME	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,E38,MT	: 	7.130 	7.187 	7.320 
A,GWH,E7000,E38,NL	: 	: 	0.000 	0.000 
A,GWH,E7000,E38,NO	: 	: 	0.000 	0.000 
A,GWH,E7000,E38,PL	: 	: 	0.000 	0.000 
A,GWH,E7000,E38,PT	: 	: 	286.348 	315.463 
A,GWH,E7000,E38,RO	: 	: 	: 	0.000 
A,GWH,E7000,E38,SE	: 	: 	0.000 	0.000 
A,GWH,E7000,E38,SI	: 	: 	71.628 	71.039 
A,GWH,E7000,E38,SK	: 	: 	0.000 	0.000 
A,GWH,E7000,E38,TR	: 	: 	: 	0.000 
A,GWH,E7000,E39,AL	: 	: 	: 	0.000 
A,GWH,E7000,E39,AT	: 	: 	0.000 	0.000 
A,GWH,E7000,E39,BE	: 	: 	0.000 	0.000 
A,GWH,E7000,E39,BG	: 	: 	0.000 	0.000 
A,GWH,E7000,E39,CZ	: 	: 	0.000 	0.000 
