freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,FC_OTH_HH_E,E7000,GWH,NO	39731.226 	36056.651 	38246.667 	38902.007 	36871.162 	38569.902 	39843.110 	40132.637 	40404.553 	40007.626 	39884.009 	41577.725 	36347.653 	38845.242 
A,FC_OTH_HH_E,E7000,GWH,PL	0.000 	0.000 	0.000 	0.000 	0.000 	28280.000 	28909.000 	29181.000 	29284.000 	29393.280 	30006.017 	30590.000 	28860.000 	28807.000 
A,FC_OTH_HH_E,E7000,GWH,PT	14522.000 	13752.000 	12898.000 	12314.000 	11915.000 	11974.000 	12973.000 	12590.000 	13213.000 	13223.156 	13656.000 	14277.917 	13904.041 	14581.452 
A,FC_OTH_HH_E,E7000,GWH,RO	0.000 	0.000 	0.000 	0.000 	0.000 	12094.502 	12066.693 	12596.670 	12779.883 	12984.285 	13619.784 	14244.214 	13497.335 	13092.000 
A,FC_OTH_HH_E,E7000,GWH,RS	14645.000 	14665.000 	14517.000 	14146.000 	13802.000 	14062.000 	13931.000 	13815.010 	13414.571 	13340.165 	13718.132 	13876.635 	13379.205 	13008.212 
A,FC_OTH_HH_E,E7000,GWH,SE	0.000 	0.000 	0.000 	0.000 	0.000 	42987.000 	45835.000 	45132.000 	45068.000 	44114.000 	42573.000 	46200.000 	40636.000 	39550.000 
A,FC_OTH_HH_E,E7000,GWH,SI	3219.038 	3211.246 	3179.025 	3228.691 	3125.426 	3204.103 	3258.519 	3324.358 	3363.516 	3412.220 	3624.255 	3786.917 	3676.431 	4078.706 
A,FC_OTH_HH_E,E7000,GWH,SK	0.000 	0.000 	0.000 	0.000 	0.000 	5035.000 	5097.000 	4918.000 	5095.000 	5453.000 	5874.000 	5968.000 	5891.100 	5848.100 
A,FC_OTH_HH_E,E7000,GWH,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	61187.211 	62082.460 
A,FC_OTH_HH_E,E7000,GWH,UA	: 	: 	: 	: 	: 	: 	35917.110 	35041.190 	35946.004 	35236.000 	36554.078 	: 	: 	: 
A,FC_OTH_HH_E,E7000,GWH,UK	118831.953 	111586.418 	114662.625 	113412.472 	108076.100 	107763.848 	108025.043 	105367.901 	105064.546 	103824.865 	: 	: 	: 	: 
A,FC_OTH_HH_E,E7000,GWH,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	2290.962 	2355.541 	2527.963 	2777.699 	2459.079 	3388.633 	3129.513 
A,FC_OTH_HH_E,E7000,TJ,AL	10790.820 	10571.882 	11036.876 	14641.092 	12600.004 	11665.350 	10767.348 	10564.326 	11329.114 	11232.871 	12488.684 	12616.747 	12091.752 	11823.336 
A,FC_OTH_HH_E,E7000,TJ,AT	63566.975 	62185.100 	63148.734 	63536.990 	60535.987 	61975.076 	64219.813 	64793.585 	64593.374 	66443.904 	70149.535 	76742.068 	76618.606 	78922.447 
A,FC_OTH_HH_E,E7000,TJ,BA	0.000 	0.000 	0.000 	0.000 	16574.400 	17010.000 	17042.400 	17118.000 	16866.000 	17013.596 	17262.000 	17683.200 	17744.400 	18000.000 
A,FC_OTH_HH_E,E7000,TJ,BE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	67856.760 	66733.560 	66629.160 	66085.920 	63033.840 	63312.840 	58392.000 	57183.480 
A,FC_OTH_HH_E,E7000,TJ,BG	38012.400 	39283.200 	39016.800 	37933.200 	38124.000 	38318.400 	38638.800 	40095.137 	39466.890 	39038.011 	40882.252 	43031.858 	43090.866 	44322.250 
A,FC_OTH_HH_E,E7000,TJ,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	6077.801 	6378.091 	6501.006 	6542.672 	6401.826 	6095.084 
A,FC_OTH_HH_E,E7000,TJ,CZ	0.000 	0.000 	0.000 	0.000 	0.000 	51775.200 	53766.000 	54760.676 	54178.330 	54924.602 	57501.000 	62136.004 	56527.200 	55716.116 
A,FC_OTH_HH_E,E7000,TJ,DE	510120.000 	491760.000 	493200.000 	489600.000 	466560.000 	463320.000 	461520.000 	471326.400 	460368.000 	455540.400 	458733.600 	498495.600 	483361.200 	455979.593 
A,FC_OTH_HH_E,E7000,TJ,DK	0.000 	0.000 	0.000 	0.000 	0.000 	36636.005 	37066.000 	35510.000 	35070.606 	36869.951 	37139.849 	39341.658 	34888.464 	35107.870 
A,FC_OTH_HH_E,E7000,TJ,EA20	1615114.271 	1544511.361 	1584743.963 	1655874.024 	1498566.735 	1942034.278 	2041322.646 	2061027.428 	2058590.328 	2050728.840 	2070441.215 	2168250.289 	2069643.089 	2015644.547 
