freq,tra_mode,siec,nrg_bal,unit,geo\TIME_PERIOD	2020 	2021 	2022 	2023 
A,FR,C0000X0350-0370,FC_TRA_INTAVI_E,THS_T,RS	0.000 	0.000 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_INTAVI_E,THS_T,SE	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_INTAVI_E,THS_T,SI	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_INTAVI_E,THS_T,SK	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_INTAVI_E,THS_T,TR	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_INTAVI_E,TJ,AL	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_INTAVI_E,TJ,AT	0.000 	0.000 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_INTAVI_E,TJ,BE	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_INTAVI_E,TJ,BG	0.000 	0.000 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_INTAVI_E,TJ,CY	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_INTAVI_E,TJ,CZ	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_INTAVI_E,TJ,DE	0.000 	0.000 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_INTAVI_E,TJ,DK	0.000 	0.000 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_INTAVI_E,TJ,EE	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_INTAVI_E,TJ,EL	: 	: 	0.000 	: 
A,FR,C0000X0350-0370,FC_TRA_INTAVI_E,TJ,ES	: 	: 	0.000 	0.000 
A,FR,C0000X0350-0370,FC_TRA_INTAVI_E,TJ,FR	0.000 	0.000 	0.000 	0.000 
